sentence,aspect_term,sentiment,from,to
And where does Patis go wrong; no where.,Patis,positive,76,82
And evaluated on those terms Pastis is simply wonderful.,Pastis,positive,76,82
Right off the L in Brooklyn this is a nice cozy place with good pizza.,pizza,positive,76,82
Right off the L in Brooklyn this is a nice cozy place with good pizza.,place,positive,76,82
Mine was a little burnt but still delicious with goat cheese and panchetta (raddichio was kind of bitter though).,raddichio,negative,76,82
My friend got the mushroom pizza which tasted better.,mushroom pizza,positive,76,82
The sangria was pretty tasty and good on a hot muggy day.,sangria,positive,76,82
Kind of a small place but I guess if they are not too busy might be able to fit a group or kids.,place,neutral,76,82
I started out with a Bombay beer which was big enough for two.,Bombay beer,positive,76,82
"Service was slow, but the people were friendly.",Service,negative,76,82
"Service was slow, but the people were friendly.",people,positive,76,82
It's a nice place to relax and have conversation.,place,positive,76,82
The food is authentic Italian - delicious!,food,positive,76,82
"Pizza is terrific, as is homemade pasta.",Pizza,positive,76,82
"Pizza is terrific, as is homemade pasta.",homemade pasta,positive,76,82
"Ambience is delightful, service impeccable.",Ambience,positive,76,82
"Ambience is delightful, service impeccable.",service,positive,76,82
I'm still mad that i had to pay for lousy food.,food,negative,76,82
The hanger steak was like rubber and the tuna was flavorless not to mention it tasted like it had just been thawed.,hanger steak,negative,76,82
The hanger steak was like rubber and the tuna was flavorless not to mention it tasted like it had just been thawed.,tuna,negative,76,82
Service was also horrible and the ambience is not that great.,Service,negative,76,82
Service was also horrible and the ambience is not that great.,ambience,negative,76,82
I go and eat out at many different restaurants and this is one place you have go and try.,place,positive,76,82
This is my first time writing a review for a restaurant because the food and service was excellent.,food,positive,76,82
This is my first time writing a review for a restaurant because the food and service was excellent.,service,positive,76,82
The filet mignon dish was superb!,filet mignon dish,positive,76,82
It's a small cute restaurant.,restaurant,positive,76,82
I absolutely love this place!!!,place,positive,76,82
"I like the ambience, it's very dark and original.",ambience,positive,76,82
The sushi is amazing!!!,sushi,positive,76,82
Very affordable and excellent ambient!,ambient,positive,76,82
We ordered some beef and noodle soup dishes from the Thai section of the menu but nothing we got was Thai.,beef and noodle soup dishes,negative,76,82
We won't go to this place again for a good meal.,meal,negative,76,82
"However, I think this place is a good hang out spot.",place,positive,76,82
My Girlfriend and I stumbled onto this hopping place the other night and had a great time!,place,positive,76,82
THe Pizza and wine were excellent-the service too--but what really MADE this place was the backyard dining area.,Pizza,positive,76,82
THe Pizza and wine were excellent-the service too--but what really MADE this place was the backyard dining area.,wine,positive,76,82
THe Pizza and wine were excellent-the service too--but what really MADE this place was the backyard dining area.,service,positive,76,82
THe Pizza and wine were excellent-the service too--but what really MADE this place was the backyard dining area.,backyard dining area,positive,76,82
It is one the nicest outdoor restaurants I have ever seen in NY--I am from Italy and this place rivals the ones in my country.,outdoor restaurants,positive,76,82
Check this place out!,place,positive,76,82
"First of all, this place is *not* romantic, as claimed by Citysearch's editorial review.",place,negative,76,82
"The tables are crammed way too close, the menu is typical of any Italian restaurant, and the wine list is simply overpriced.",tables,negative,76,82
"The tables are crammed way too close, the menu is typical of any Italian restaurant, and the wine list is simply overpriced.",menu,neutral,76,82
"The tables are crammed way too close, the menu is typical of any Italian restaurant, and the wine list is simply overpriced.",wine list,negative,76,82
Slightly above average wines start at $70+ with only one selection listed at $30+.,wines,negative,76,82
Slightly above average wines start at $70+ with only one selection listed at $30+.,wines,negative,76,82
Service is not what one would expect from a joint in this price category.,Service,negative,76,82
Somehow working the italian charm with constant mille grazie does not constitute proper service.,service,negative,76,82
"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.",food,positive,76,82
"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.",Teodora,negative,76,82
Not one of our meals was edible - bland and/or made with weird rosemary or orange flavoring.,meals,negative,76,82
Not one of our meals was edible - bland and/or made with weird rosemary or orange flavoring.,rosemary or orange flavoring,negative,76,82
Fish was overdone.,Fish,negative,76,82
"Cute place, nice wait staff but would never go there again.",wait staff,positive,76,82
"Cute place, nice wait staff but would never go there again.",place,positive,76,82
"Cute place, nice wait staff but would never go there again.",place,negative,76,82
Someone else recommended the dessert - we also left that.,dessert,negative,76,82
One of us actually liked the expresso - that's it.,expresso,positive,76,82
"Skip this restaurant, it's a big disappointment.",restaurant,negative,76,82
Myagi is one of my favorite restaurants in the City; the place the negative reviews describe sound like they were somewhere else.,Myagi,positive,76,82
I've never had bad service and the fish is fresh and delicious.,service,positive,76,82
I've never had bad service and the fish is fresh and delicious.,fish,positive,76,82
Their tuna tartar appetizer is to die for.,tuna tartar appetizer,positive,76,82
"I come from a family of pizzeria owners, and I'm almost ashamed to say that the pizza in Fornino's blows my families receipies away.",pizza,positive,76,82
The place is so cool and the service is prompt and curtious.,service,positive,76,82
The place is so cool and the service is prompt and curtious.,place,positive,76,82
I highly recommend to anyone to give this place a try.,place,positive,76,82
A restaurant that doesn't try to do anything except serve great food with great service in a pleasant atmosphere.,food,positive,76,82
A restaurant that doesn't try to do anything except serve great food with great service in a pleasant atmosphere.,service,positive,76,82
A restaurant that doesn't try to do anything except serve great food with great service in a pleasant atmosphere.,atmosphere,positive,76,82
No gimmicks here -- the food speaks for itself in its freshness and preparation.,food,positive,76,82
The dining room is quietly elegant with no music to shout over -- how refreshing!,dining room,positive,76,82
"The service was impeccable and unobtrusive -- the staff knows what they are there to do -- to know their menu, present your meal, and attend to your needs.",service,positive,76,82
"The service was impeccable and unobtrusive -- the staff knows what they are there to do -- to know their menu, present your meal, and attend to your needs.",staff,positive,76,82
"Looking around, I saw a room full of New Yorkers enjoying a real meal in a real restaurant, not a clubhouse of the fabulous trying to be seen.",meal,positive,76,82
"Looking around, I saw a room full of New Yorkers enjoying a real meal in a real restaurant, not a clubhouse of the fabulous trying to be seen.",restaurant,positive,76,82
The view is breathtaking the service is top notch... the ambiance is wonderfull.,view,positive,76,82
The view is breathtaking the service is top notch... the ambiance is wonderfull.,service,positive,76,82
The view is breathtaking the service is top notch... the ambiance is wonderfull.,ambiance,positive,76,82
The staff offers impeccable service.,staff,positive,76,82
I had Lobster Bisque it has 2 oz. of Maine Lobster in it.,Lobster Bisque,positive,76,82
My boyfriend had the New England Chowder it was good but I think the award should go to the Lobster Bisque.,New England Chowder,positive,76,82
My boyfriend had the New England Chowder it was good but I think the award should go to the Lobster Bisque.,Lobster Bisque,positive,76,82
My boyfriend had Prime Rib it was good .,Prime Rib,positive,76,82
We didn't want a bottle of bubbly on a weekday so we each got little bottles of Korbett it was just enough.,bottles of Korbett,positive,76,82
My wife and I ate here earlier this week and have not stopped ranting and raving about the food.,food,positive,76,82
If you like spicy food get the chicken vindaloo.,chicken vindaloo,positive,76,82
Go to Volare for 1st class service and terrific food.,service,positive,76,82
Go to Volare for 1st class service and terrific food.,food,positive,76,82
The portions are large and the servers always surprise us with a different starter.,portions,positive,76,82
The wine list is excellent.,wine list,positive,76,82
The food is amazing... especially if you get the Chef's tasting menu and your favourite bottle (or two!) of wine from an extensive selection of wines.,food,positive,76,82
The food is amazing... especially if you get the Chef's tasting menu and your favourite bottle (or two!) of wine from an extensive selection of wines.,selection of wines,positive,76,82
The food is amazing... especially if you get the Chef's tasting menu and your favourite bottle (or two!) of wine from an extensive selection of wines.,Chef's tasting menu,positive,76,82
"The place is small and intimate and you may feel a little crowded, but the service is excellent and it's great for friends out, a romantic date, or a special occassion.",service,positive,76,82
"The place is small and intimate and you may feel a little crowded, but the service is excellent and it's great for friends out, a romantic date, or a special occassion.",place,negative,76,82
"The place is small and intimate and you may feel a little crowded, but the service is excellent and it's great for friends out, a romantic date, or a special occassion.",place,positive,76,82
The food can get pricey but the prixe fixe tasting menu is the greatest food for a good price and they cater the food to any food allergies or food you don't like.,food,negative,76,82
The food can get pricey but the prixe fixe tasting menu is the greatest food for a good price and they cater the food to any food allergies or food you don't like.,prixe fixe tasting menu,positive,76,82
The food can get pricey but the prixe fixe tasting menu is the greatest food for a good price and they cater the food to any food allergies or food you don't like.,prixe fixe tasting menu,positive,76,82
"With the exception of our lemon salad that had so much pepper on it that our eyes started watering, the food here was decent, not great.",food,neutral,76,82
"With the exception of our lemon salad that had so much pepper on it that our eyes started watering, the food here was decent, not great.",lemon salad,negative,76,82
The menu is very limited - i think we counted 4 or 5 entrees.,menu,negative,76,82
"We ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat.",grilled branzino,negative,76,82
"The decor in this place is very diner-ish and the kind of place you expect in the East Village - not romantic, just simple, small and sparse.",decor,neutral,76,82
Problem is nothing at Prune is particularly memorable.,Prune,negative,76,82
This place is so much fun.,place,positive,76,82
Our family never expected such incredible entertainment in a restaurant.,entertainment,positive,76,82
Our food was great too!,food,positive,76,82
And really large portions.,portions,positive,76,82
The staff was the friendliest that have seen in New York.,staff,positive,76,82
If you want something really different than try Jekyll and Hyde.,Jekyll and Hyde,positive,76,82
The food was pretty tradional but it was hot and good with large portions.,food,positive,76,82
The food was pretty tradional but it was hot and good with large portions.,portions,positive,76,82
The place is a lot of fun.,place,positive,76,82
The characters really make for an enjoyable experience.,characters,positive,76,82
"The food however, is what one might expect.",food,negative,76,82
"However, I think Jeckll and Hydes t is one of those places that is fun to do once.",Jeckll and Hydes,positive,76,82
Service was slow had to wait to order and get food although not crowded.,Service,negative,76,82
Drinks way over priced.,Drinks,negative,76,82
Food was good not great not worth the wait or another visit,Food,neutral,76,82
Great pizza for lunch place.,pizza,positive,76,82
Service was quick.,Service,positive,76,82
The pizza was great.,pizza,positive,76,82
"Whenever you need a Sushi fix, Mizu will be there with quality fish and great service.",fish,positive,76,82
"Whenever you need a Sushi fix, Mizu will be there with quality fish and great service.",service,positive,76,82
Delivery is fast too.,Delivery,positive,76,82
"Great friendly service, Fast seating, Fast Delivery, Excellent sushi.",service,positive,76,82
"Great friendly service, Fast seating, Fast Delivery, Excellent sushi.",seating,positive,76,82
"Great friendly service, Fast seating, Fast Delivery, Excellent sushi.",Delivery,positive,76,82
"Great friendly service, Fast seating, Fast Delivery, Excellent sushi.",sushi,positive,76,82
Ess-A-Bagel (either by Sty-town or midtown) is by far the best bagel in NY.,bagel,positive,76,82
"The bagels always warm, soft on the inside, crispy on the outside and enormous in size.",bagels,positive,76,82
"The bagels always warm, soft on the inside, crispy on the outside and enormous in size.",bagels,positive,76,82
They have a huge selection of different cream cheeses and all of their salads are great.,salads,positive,76,82
They have a huge selection of different cream cheeses and all of their salads are great.,cream cheeses,positive,76,82
The lox is always fresh too.,lox,positive,76,82
Not impressed with the food.,food,negative,76,82
Prices too high for this cramped and unappealing resturant.,resturant,negative,76,82
Prices too high for this cramped and unappealing resturant.,resturant,negative,76,82
Zero ambiance to boot.,ambiance,negative,76,82
I thought this place was totally overrated.,place,negative,76,82
"The ambience was nice, but service wasn't so great.",ambience,positive,76,82
"The ambience was nice, but service wasn't so great.",service,negative,76,82
This is the BEST Shabu-Shabu Restaurant in the Try-State Area.,Shabu-Shabu Restaurant,positive,76,82
I have lived in Japan for 7 years and the taste of the food and the feel of the restaurant is like being back in Japan.,food,positive,76,82
I have lived in Japan for 7 years and the taste of the food and the feel of the restaurant is like being back in Japan.,feel,positive,76,82
Thius is a must for anyone who loves Shabu-Shabu.,Shabu-Shabu,positive,76,82
"The atmosphere is nothing special, but it feels like a Sushi establishment in Tokyo.",atmosphere,positive,76,82
The owner and staff are all Japanese as well and that adds to the entire ambiance.,owner,positive,76,82
The owner and staff are all Japanese as well and that adds to the entire ambiance.,staff,positive,76,82
The owner and staff are all Japanese as well and that adds to the entire ambiance.,ambiance,positive,76,82
"Despite a slightly limited menu, everything prepared is done to perfection, ultra fresh and a work of food art.",menu,negative,76,82
Taxan delicious!,Taxan,positive,76,82
The prices were CHEAP compared to the quality of service and food.,service,positive,76,82
The prices were CHEAP compared to the quality of service and food.,food,positive,76,82
The location and ambience is Ok but the food is what makes up for it.,location,neutral,76,82
The location and ambience is Ok but the food is what makes up for it.,ambience,neutral,76,82
The location and ambience is Ok but the food is what makes up for it.,food,positive,76,82
Try green curry with vegetables.,green curry with vegetables,positive,76,82
"The quantity is also very good, you will come out satisfied.",quantity,positive,76,82
"The service is ok, some of the people didn't get what they asked for.",service,neutral,76,82
I had the best ravioli ever.,ravioli,positive,76,82
The wine the service was very good too.,wine,positive,76,82
The wine the service was very good too.,service,positive,76,82
This quaint and romantic trattoria is at the top of my Manhattan restaurant list.,trattoria,positive,76,82
This quaint and romantic trattoria is at the top of my Manhattan restaurant list.,trattoria,positive,76,82
"The food is delicious - from the specials to the regular menu-fare, the dishes are never a disappointment.",food,positive,76,82
"The food is delicious - from the specials to the regular menu-fare, the dishes are never a disappointment.",dishes,positive,76,82
"The food is delicious - from the specials to the regular menu-fare, the dishes are never a disappointment.",specials,positive,76,82
"The food is delicious - from the specials to the regular menu-fare, the dishes are never a disappointment.",regular menu-fare,positive,76,82
"Whether it's the parmesean porcini souffle or the lamb glazed with balsamic vinegar, you will surely be transported to Northern Italy with one bite.",parmesean porcini souffle,positive,76,82
"Whether it's the parmesean porcini souffle or the lamb glazed with balsamic vinegar, you will surely be transported to Northern Italy with one bite.",lamb glazed with balsamic vinegar,positive,76,82
"Although the tables may be closely situated, the candle-light, food-quality and service overcompensate.",candle-light,positive,76,82
"Although the tables may be closely situated, the candle-light, food-quality and service overcompensate.",food,positive,76,82
"Although the tables may be closely situated, the candle-light, food-quality and service overcompensate.",service,positive,76,82
"Although the tables may be closely situated, the candle-light, food-quality and service overcompensate.",tables,negative,76,82
"I have known about this secret for the last 13 years, Emilio(the Godfather) has continued to serve food and wine for the gods at mortal prices.",food,positive,76,82
"I have known about this secret for the last 13 years, Emilio(the Godfather) has continued to serve food and wine for the gods at mortal prices.",wine,positive,76,82
"I have known about this secret for the last 13 years, Emilio(the Godfather) has continued to serve food and wine for the gods at mortal prices.",food,positive,76,82
"I have known about this secret for the last 13 years, Emilio(the Godfather) has continued to serve food and wine for the gods at mortal prices.",wine,positive,76,82
"If you go, try the marinara/arrabiatta sauce, the mozzarella en Carozza is mmmmmmmm..... everything is just delicious.",marinara/arrabiatta sauce,positive,76,82
"If you go, try the marinara/arrabiatta sauce, the mozzarella en Carozza is mmmmmmmm..... everything is just delicious.",mozzarella en Carozza,positive,76,82
Check out the secret back room.,back room,positive,76,82
Thank You Emilio.,Emilio,positive,76,82
"I found the food, service and value exceptional everytime I have been there.",food,positive,76,82
"I found the food, service and value exceptional everytime I have been there.",service,positive,76,82
The food was authentic.,food,positive,76,82
The service was excellent - friendly and attentive.,service,positive,76,82
Very good wine choices.,wine choices,positive,76,82
Who has room for Cheesesticks with the best pizza in NYC!,pizza,positive,76,82
Get the pepperoni - YUM - and a family style salad.,pepperoni,positive,76,82
Get the pepperoni - YUM - and a family style salad.,family style salad,positive,76,82
Great staff.,staff,positive,76,82
Always great service!,service,positive,76,82
"The food is good, I can't lie.",food,positive,76,82
But the staff was so horrible to us.,staff,negative,76,82
The hostess and the waitress were incredibly rude and did everything they could to rush us out.,hostess,negative,76,82
The hostess and the waitress were incredibly rude and did everything they could to rush us out.,waitress,negative,76,82
We were planning to get dessert but the waitress basically through the bill at us before we had a chance to order.,waitress,negative,76,82
"This place is pricey, and yes, the food is worth it; but the service makes you feel like you should be paying a quater of the price.",place,negative,76,82
"This place is pricey, and yes, the food is worth it; but the service makes you feel like you should be paying a quater of the price.",food,positive,76,82
"This place is pricey, and yes, the food is worth it; but the service makes you feel like you should be paying a quater of the price.",service,negative,76,82
Amma is nothing special.,Amma,neutral,76,82
I ate here a week ago and found most dishes average at best and too expensive.,dishes,negative,76,82
I ate here a week ago and found most dishes average at best and too expensive.,dishes,negative,76,82
"Don't dine at Tamarind for the vegetarian dishes, they are simply not up to par with the non-veg selections.",vegetarian dishes,negative,76,82
"Don't dine at Tamarind for the vegetarian dishes, they are simply not up to par with the non-veg selections.",non-veg selections,positive,76,82
Decor is nice though service can be spotty.,Decor,positive,76,82
Decor is nice though service can be spotty.,service,negative,76,82
This place is always packed.,place,neutral,76,82
"Most importantly, food is excellent.",food,positive,76,82
Try the sea bass.,sea bass,positive,76,82
First of all Dal Bukhara Rocks.,Dal Bukhara,positive,76,82
I am happy i did the food was awsome.,food,positive,76,82
and yes Dal Bukhara is so dam good and so are all the kababs.,kababs,positive,76,82
and yes Dal Bukhara is so dam good and so are all the kababs.,Dal Bukhara,positive,76,82
Haru on Park S is simply disgusting.,Haru on Park S,negative,76,82
The fish was not fresh and the rice tasted old and stale.,fish,negative,76,82
The fish was not fresh and the rice tasted old and stale.,rice,negative,76,82
"Quite frankly, this is some of the worst sushi I have ever tried.",sushi,negative,76,82
honestly the worst sushi my husband and i had in our entire lives.,sushi,negative,76,82
not sure why this restaurant would be rated that highly.,restaurant,negative,76,82
the all-u-can-eat sushi is definitely in very poor quality.,all-u-can-eat sushi,negative,76,82
"limited menu, no-so-fresh ingredients, thinly-sliced fish, fall-apart rice.",menu,negative,76,82
"limited menu, no-so-fresh ingredients, thinly-sliced fish, fall-apart rice.",ingredients,negative,76,82
"limited menu, no-so-fresh ingredients, thinly-sliced fish, fall-apart rice.",fish,negative,76,82
"limited menu, no-so-fresh ingredients, thinly-sliced fish, fall-apart rice.",rice,negative,76,82
"the only things u could really taste are the very salty soy sauce (even its low sodium), the vinegar-soaked rice, and the scallion on top of the fish.",soy sauce,negative,76,82
"the only things u could really taste are the very salty soy sauce (even its low sodium), the vinegar-soaked rice, and the scallion on top of the fish.",rice,negative,76,82
the waitstaffs are nice though.,waitstaffs,positive,76,82
I have been to Roth's twice and both times were very disappointing.,Roth's,negative,76,82
"Both times I was extremely dissappointed by the service, which was boarderline rude.",service,negative,76,82
"The dinner was ok, nothing I would have again.",dinner,negative,76,82
"I had their eggs benedict for brunch, which were the worst in my entire life, I tried removing the hollondaise sauce completely that was how failed it was.",eggs benedict,negative,76,82
With the theater 2 blocks away we had a delicious meal in a beautiful room.,meal,positive,76,82
With the theater 2 blocks away we had a delicious meal in a beautiful room.,room,positive,76,82
The service was attentive.,service,positive,76,82
Planet Thai is great!,Planet Thai,positive,76,82
"We love the food, drinks, and atmosphere!",food,positive,76,82
"We love the food, drinks, and atmosphere!",drinks,positive,76,82
"We love the food, drinks, and atmosphere!",atmosphere,positive,76,82
"The svc can be a bit rude at times, esp if you have big group, but overall the restaurant is a must!",svc,negative,76,82
"The svc can be a bit rude at times, esp if you have big group, but overall the restaurant is a must!",restaurant,positive,76,82
"Try the Pad Thai, it's fabulous and their prices are so cheap!",Pad Thai,positive,76,82
"Just because it's cheap does NOT mean the portions are small or the food is nasty, IT IS GREAT!",portions,positive,76,82
"Just because it's cheap does NOT mean the portions are small or the food is nasty, IT IS GREAT!",food,positive,76,82
"Also, the sandwiches (nearing $7) didn't come with anything like chips or a side.",sandwiches,negative,76,82
"Also, the sandwiches (nearing $7) didn't come with anything like chips or a side.",sandwiches,negative,76,82
"Eating in, the atmosphere saves it, but at your desk, it's a very disappointing experience.",atmosphere,positive,76,82
Chennai Garden is my favorite Indian restaurant in the city.,Chennai Garden,positive,76,82
They have authentic Indian at amazin prices.,Indian,positive,76,82
They have authentic Indian at amazin prices.,Indian,positive,76,82
This restaurant is VEGETARIAN; there are NO MEAT dishes whatsoever.,MEAT dishes,negative,76,82
The seats are uncomfortable if you are sitting against the wall on wooden benches.,seats,negative,76,82
It's a rather cramped and busy restaurant and it closes early.,restaurant,negative,76,82
It's a rather cramped and busy restaurant and it closes early.,restaurant,negative,76,82
Patroon features a nice cigar bar and has great staff.,cigar bar,positive,76,82
Patroon features a nice cigar bar and has great staff.,staff,positive,76,82
The food is tasty and portion sizes are appropriate.,food,positive,76,82
The food is tasty and portion sizes are appropriate.,portion sizes,positive,76,82
This is a nice restaurant if you are looking for a good place to host an intimate dinner meeting with business associates.,restaurant,positive,76,82
Not a great place for family or general dining.,place,negative,76,82
LLOOVVE THIS PLACE.,PLACE,positive,76,82
Food is excellent.,Food,positive,76,82
Fish is so very fresh.,Fish,positive,76,82
Waitstaff are very friendly.,Waitstaff,positive,76,82
Love YUKA.,YUKA,positive,76,82
Mermaid Inn is an overall good restaurant with really good seafood.,seafood,positive,76,82
Mermaid Inn is an overall good restaurant with really good seafood.,Mermaid Inn,positive,76,82
The menu is limited but almost all of the dishes are excellent.,menu,negative,76,82
The menu is limited but almost all of the dishes are excellent.,dishes,positive,76,82
The lobster sandwich is good and the spaghetti with Scallops and Shrimp is great.,lobster sandwich,positive,76,82
The lobster sandwich is good and the spaghetti with Scallops and Shrimp is great.,spaghetti with Scallops and Shrimp,positive,76,82
The service is good and ambience is good for a date or group outing.,service,positive,76,82
The service is good and ambience is good for a date or group outing.,ambience,positive,76,82
The only fallback on this restaurant is the prices.,restaurant,negative,76,82
"Even though its good seafood, the prices are too high.",seafood,positive,76,82
The lobster sandwich is $24 and although it was good it was not nearly enough to warrant that price.,lobster sandwich,positive,76,82
The lobster sandwich is $24 and although it was good it was not nearly enough to warrant that price.,lobster sandwich,negative,76,82
"The food was delicious (I had a halibut special, my husband had steak), and the service was top-notch.",food,positive,76,82
"The food was delicious (I had a halibut special, my husband had steak), and the service was top-notch.",halibut special,positive,76,82
"The food was delicious (I had a halibut special, my husband had steak), and the service was top-notch.",steak,positive,76,82
"The food was delicious (I had a halibut special, my husband had steak), and the service was top-notch.",service,positive,76,82
"When my dessert came, there was a candle in it - not because anyone asked for one - but because the waiter must have seen me opening my birthday card and gift, and said he knew it was a special occassion of some sort.",waiter,positive,76,82
Truly the mark of an attentive waiter.,waiter,positive,76,82
I highly recommend the restaurant based on our experience last night.,restaurant,positive,76,82
We ate at this Thai place following the reviews but very unhappy with the foods.,foods,negative,76,82
We thought that this place is using too much of MSG cooking in the foods.,foods,negative,76,82
"I recommend the jelly fish, drunken chicken and the soupy dumplings, certainly the stir fry blue crab.",jelly fish,positive,76,82
"I recommend the jelly fish, drunken chicken and the soupy dumplings, certainly the stir fry blue crab.",drunken chicken,positive,76,82
"I recommend the jelly fish, drunken chicken and the soupy dumplings, certainly the stir fry blue crab.",soupy dumplings,positive,76,82
"I recommend the jelly fish, drunken chicken and the soupy dumplings, certainly the stir fry blue crab.",stir fry blue crab,positive,76,82
The food is so cheap and the waiters are nice.,food,positive,76,82
The food is so cheap and the waiters are nice.,waiters,positive,76,82
Have frequented 'ino for several years and the food remains excellent.,food,positive,76,82
Cheese plate is a varied delight and great bargain at $10.,Cheese plate,positive,76,82
Cheese plate is a varied delight and great bargain at $10.,Cheese plate,positive,76,82
Cheese plate is a varied delight and great bargain at $10.,Cheese plate,positive,76,82
"The large selection of bruschettas, paninis, tramezzinis keep the palate from stagnating.",bruschettas,positive,76,82
"The large selection of bruschettas, paninis, tramezzinis keep the palate from stagnating.",paninis,positive,76,82
"The large selection of bruschettas, paninis, tramezzinis keep the palate from stagnating.",tramezzinis,positive,76,82
"(The asparagus, truffle oil, parmesan bruschetta is a winner!)","asparagus, truffle oil, parmesan bruschetta",positive,76,82
Wine list is extensive without being over-priced.,Wine list,positive,76,82
Wine list is extensive without being over-priced.,Wine list,positive,76,82
"Be sure to try the seasonal, and always delicious, specials.",specials,positive,76,82
I loved this place!!,place,positive,76,82
I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded.,atmosphere,positive,76,82
"The food was very good, a great deal, and the place its self was great.",food,positive,76,82
"The food was very good, a great deal, and the place its self was great.",food,positive,76,82
"The food was very good, a great deal, and the place its self was great.",place,positive,76,82
"The wait staff is very freindly, they make it feel like you're eating in a freindly little european town.",wait staff,positive,76,82
"I like Cafe Noir dont get me wrong, it is jsut that the people who work there are evil and incompetent!!",people,negative,76,82
"I like Cafe Noir dont get me wrong, it is jsut that the people who work there are evil and incompetent!!",Cafe Noir,positive,76,82
"The service was terrible, we had to wait for everything and ask several of different people for the same thing before we were allowed to be served.",service,negative,76,82
"The waitress, seems to be more concerned of looking good than actually waitressing.",waitress,negative,76,82
"After dinner the manager grabbed my boyfriend, asked him: Where are you from...maybe you dont know how things work in America...and in the end stormed away almost teareyed yelling that tips are the only thing they survive on.",manager,negative,76,82
"We did tip, I guess the model/waitress just wanted more and complained to the manager.",waitress,negative,76,82
"The whole set up is truly unprofessional and I wish Cafe Noir would get some good staff, because despite the current one this is a great place.",staff,negative,76,82
"The whole set up is truly unprofessional and I wish Cafe Noir would get some good staff, because despite the current one this is a great place.",Cafe Noir,positive,76,82
Pizza here is consistently good.,Pizza,positive,76,82
Salads are a delicious way to begin the meal.,Salads,positive,76,82
You should pass on the calamari.,calamari,negative,76,82
Decor is charming.,Decor,positive,76,82
Service is average.,Service,neutral,76,82
What a great place.,place,positive,76,82
"The ambience was so fun, and the prices were great, on top of the fact that the food was really tasty.",ambience,positive,76,82
"The ambience was so fun, and the prices were great, on top of the fact that the food was really tasty.",food,positive,76,82
I would definitely recommend SEA if you like thai cuisine!,thai cuisine,positive,76,82
I was here a few weeks back and we had the worst customer service experience at a restaurant ever.,customer service,negative,76,82
"A gentleman, maybe the manager, came to our table, and without so much as a smile or greeting asked for our order.",gentleman,negative,76,82
I absolutely Loved this place.,place,positive,76,82
"Excellent atmosphere, delicious dishes good and friendly service.",atmosphere,positive,76,82
"Excellent atmosphere, delicious dishes good and friendly service.",dishes,positive,76,82
"Excellent atmosphere, delicious dishes good and friendly service.",service,positive,76,82
The wine list is also really nice.,wine list,positive,76,82
"Everything was wonderful; food, drinks, staff, mileau.",food,positive,76,82
"Everything was wonderful; food, drinks, staff, mileau.",drinks,positive,76,82
"Everything was wonderful; food, drinks, staff, mileau.",staff,positive,76,82
"Everything was wonderful; food, drinks, staff, mileau.",mileau,positive,76,82
I would highly recommend this place!,place,positive,76,82
I have been to Casimir over 5 times and I have always had a great time there.,Casimir,positive,76,82
The food is great and reasonably priced.,food,positive,76,82
The food is great and reasonably priced.,food,positive,76,82
"I have tried to make reservations, but both times, the hostess didn't have my name.",hostess,negative,76,82
"If the weather is nice, try to snag an outside table.",outside table,positive,76,82
"The staff has been nice, but they seemed really stressed and the unisex bathroom needs to be cleaned more often.",staff,positive,76,82
"The staff has been nice, but they seemed really stressed and the unisex bathroom needs to be cleaned more often.",unisex bathroom,negative,76,82
"From the spectacular caviar to the hospitable waitstaff, I felt like royalty and enjoyed every second of it.",caviar,positive,76,82
"From the spectacular caviar to the hospitable waitstaff, I felt like royalty and enjoyed every second of it.",waitstaff,positive,76,82
"Considering we were the last patrons there and it was after the closing time, the waitstaff did not rush us at all and made us feel comfortable and relaxed.",waitstaff,positive,76,82
I highly recommend Caviar Russe to anyone who wants delicious top grade caviar and fantastic service.,caviar,positive,76,82
I highly recommend Caviar Russe to anyone who wants delicious top grade caviar and fantastic service.,service,positive,76,82
Nice Family owned traditional restaurant.,restaurant,positive,76,82
Fresh ingredients and everything is made to order.,ingredients,positive,76,82
Friendly staff that actually lets you enjoy your meal and the company you're with.,staff,positive,76,82
"I found the food to be outstanding, particulary the salmon dish I had.",food,positive,76,82
"I found the food to be outstanding, particulary the salmon dish I had.",salmon dish,positive,76,82
"I also ordered the Change Mojito, which was out of this world.",Change Mojito,positive,76,82
"My friends settled for rice dishes, but we came back the following day to try the dim sum, which was good...not outstanding, but good.",dim sum,neutral,76,82
"We ate out in the back patio, which is worth it as it's cool and the music is hear well there.",back patio,positive,76,82
"We ate out in the back patio, which is worth it as it's cool and the music is hear well there.",music,positive,76,82
"Overall, excellent restaurant!",restaurant,positive,76,82
The food was good.,food,positive,76,82
The place was nice and calm.,place,positive,76,82
but the service was a bit slow.,service,negative,76,82
The buffet had a nice selection.,buffet,positive,76,82
The food was average or above including some surprising tasty dishes.,food,positive,76,82
The food was average or above including some surprising tasty dishes.,dishes,positive,76,82
Service was also very good.,Service,positive,76,82
